pc_time,packet_no,target_index,track_id,match_distance_m,x_cm,y_cm,speed_cm_s,pv,x_m,y_m,speed_m_s,distance_m
2026-06-26T15:42:00.768,10,5,4,0.000,29,346,0,230,0.290,3.460,0.000,3.472
2026-06-26T15:42:00.818,11,5,4,0.124,32,334,0,201,0.320,3.340,0.000,3.355
2026-06-26T15:42:00.867,12,4,4,0.000,32,334,0,201,0.320,3.340,0.000,3.355
2026-06-26T15:42:00.915,13,4,4,0.000,32,334,0,187,0.320,3.340,0.000,3.355
2026-06-26T15:42:00.964,14,4,4,0.050,36,337,0,211,0.360,3.370,0.000,3.389
2026-06-26T15:42:04.263,80,4,5,0.060,-54,334,76,42,-0.540,3.340,0.760,3.383
2026-06-26T15:42:04.314,81,4,5,0.040,-54,338,82,58,-0.540,3.380,0.820,3.423
2026-06-26T15:42:04.466,84,1,1,0.000,-42,120,0,393,-0.420,1.200,0.000,1.271
2026-06-26T15:42:04.516,85,1,1,0.000,-42,120,0,363,-0.420,1.200,0.000,1.271
2026-06-26T15:42:04.566,86,1,1,0.000,-42,120,0,350,-0.420,1.200,0.000,1.271
2026-06-26T15:42:04.617,87,1,1,0.010,-41,120,0,408,-0.410,1.200,0.000,1.268
2026-06-26T15:42:04.667,88,1,1,0.010,-42,120,0,380,-0.420,1.200,0.000,1.271
2026-06-26T15:42:04.718,89,1,1,0.000,-42,120,0,383,-0.420,1.200,0.000,1.271
2026-06-26T15:42:04.767,90,1,1,0.000,-42,120,0,378,-0.420,1.200,0.000,1.271
2026-06-26T15:42:04.817,91,1,1,0.000,-42,120,0,350,-0.420,1.200,0.000,1.271
2026-06-26T15:42:04.869,92,1,1,0.000,-42,120,0,347,-0.420,1.200,0.000,1.271
2026-06-26T15:42:04.970,94,1,1,0.000,-42,120,0,434,-0.420,1.200,0.000,1.271
2026-06-26T15:42:05.021,95,1,1,0.000,-42,120,0,385,-0.420,1.200,0.000,1.271
2026-06-26T15:42:14.667,288,3,7,0.010,-39,289,28,93,-0.390,2.890,0.280,2.916
2026-06-26T15:42:14.718,289,2,7,0.121,-34,278,38,88,-0.340,2.780,0.380,2.801
2026-06-26T15:42:14.768,290,2,7,0.094,-29,270,53,33,-0.290,2.700,0.530,2.716
2026-06-26T15:42:14.817,291,2,7,0.057,-25,266,65,59,-0.250,2.660,0.650,2.672
2026-06-26T15:42:14.866,292,2,7,0.036,-22,264,74,80,-0.220,2.640,0.740,2.649
2026-06-26T15:42:14.915,293,2,7,0.030,-19,264,73,44,-0.190,2.640,0.730,2.647
2026-06-26T15:42:14.964,294,2,7,0.020,-21,264,80,86,-0.210,2.640,0.800,2.648
2026-06-26T15:42:15.013,295,2,7,0.020,-21,266,86,36,-0.210,2.660,0.860,2.668
2026-06-26T15:42:15.113,297,1,1,0.000,-42,120,0,365,-0.420,1.200,0.000,1.271
2026-06-26T15:42:15.162,298,1,1,0.000,-42,120,0,335,-0.420,1.200,0.000,1.271
2026-06-26T15:42:15.211,299,1,1,0.000,-42,120,0,317,-0.420,1.200,0.000,1.271
2026-06-26T15:42:15.260,300,1,1,0.010,-41,120,0,382,-0.410,1.200,0.000,1.268
2026-06-26T15:42:15.370,302,1,1,0.000,-41,120,0,326,-0.410,1.200,0.000,1.268
2026-06-26T15:42:15.419,303,1,1,0.000,-41,120,0,392,-0.410,1.200,0.000,1.268
2026-06-26T15:42:15.467,304,1,1,0.010,-42,120,0,332,-0.420,1.200,0.000,1.271
2026-06-26T15:42:15.514,305,1,1,0.000,-42,120,0,303,-0.420,1.200,0.000,1.271
2026-06-26T15:42:15.610,307,1,1,0.000,-42,120,0,326,-0.420,1.200,0.000,1.271
2026-06-26T15:42:15.660,308,1,1,0.000,-42,120,0,341,-0.420,1.200,0.000,1.271
2026-06-26T15:42:15.720,309,1,1,0.000,-42,120,0,331,-0.420,1.200,0.000,1.271
2026-06-26T15:42:15.768,310,1,1,0.014,-41,121,0,385,-0.410,1.210,0.000,1.278
2026-06-26T15:42:15.967,314,1,1,0.000,-43,120,0,322,-0.430,1.200,0.000,1.275
2026-06-26T15:42:16.019,315,5,7,0.050,-27,339,90,72,-0.270,3.390,0.900,3.401
2026-06-26T15:42:16.168,318,5,7,0.040,-27,349,86,61,-0.270,3.490,0.860,3.500
2026-06-26T15:42:16.217,319,5,7,0.045,-29,353,90,45,-0.290,3.530,0.900,3.542
2026-06-26T15:42:16.318,321,5,7,0.148,-42,365,70,970,-0.420,3.650,0.700,3.674
2026-06-26T15:42:16.367,322,5,7,0.040,-42,369,54,945,-0.420,3.690,0.540,3.714
2026-06-26T15:42:16.418,323,5,7,0.036,-39,371,65,38,-0.390,3.710,0.650,3.730
2026-06-26T15:42:16.467,324,5,7,0.125,-50,377,51,966,-0.500,3.770,0.510,3.803
