event_time,event_type,event_label,track_ids,duration_s,details
2026-06-26T16:16:20.968,KS,快速通过,34,0.4,"{""current_speed_m_s"": 0.85, ""average_speed_m_s"": 0.687, ""speed_ratio"": 1.24, ""acceleration_m_s2"": -0.329, ""trigger_reason"": ""speed_threshold"", ""speed_duration_s"": 0.4, ""position"": {""x"": -0.39, ""y"": 3.52}}"
2026-06-26T16:16:34.596,KS,快速通过,54,0.3,"{""current_speed_m_s"": 0.83, ""average_speed_m_s"": 0.643, ""speed_ratio"": 1.29, ""acceleration_m_s2"": -0.603, ""trigger_reason"": ""speed_threshold"", ""speed_duration_s"": 0.3, ""position"": {""x"": 0.44, ""y"": 1.2}}"
2026-06-26T16:16:40.352,KS,快速通过,45,0.3,"{""current_speed_m_s"": 0.66, ""average_speed_m_s"": 0.552, ""speed_ratio"": 1.2, ""acceleration_m_s2"": 0.199, ""trigger_reason"": ""speed_threshold"", ""speed_duration_s"": 0.3, ""position"": {""x"": -0.28, ""y"": 2.72}}"
2026-06-26T16:16:46.244,KS,快速通过,48,0.3,"{""current_speed_m_s"": 0.85, ""average_speed_m_s"": 0.708, ""speed_ratio"": 1.2, ""acceleration_m_s2"": 0.996, ""trigger_reason"": ""speed_threshold"", ""speed_duration_s"": 0.3, ""position"": {""x"": 0.5, ""y"": 2.08}}"
2026-06-26T16:16:52.545,KS,快速通过,92,0.3,"{""current_speed_m_s"": 0.71, ""average_speed_m_s"": 0.738, ""speed_ratio"": 0.96, ""acceleration_m_s2"": 0.0, ""trigger_reason"": ""speed_threshold"", ""speed_duration_s"": 0.3, ""position"": {""x"": -0.28, ""y"": 2.22}}"
2026-06-26T16:16:57.904,KS,快速通过,104,0.3,"{""current_speed_m_s"": 0.95, ""average_speed_m_s"": 0.616, ""speed_ratio"": 1.54, ""acceleration_m_s2"": 8.621, ""trigger_reason"": ""speed_threshold"", ""speed_duration_s"": 0.3, ""position"": {""x"": 0.16, ""y"": 2.5}}"
2026-06-26T16:17:12.395,KS,快速通过,45,0.3,"{""current_speed_m_s"": 0.98, ""average_speed_m_s"": 0.589, ""speed_ratio"": 1.66, ""acceleration_m_s2"": 0.196, ""trigger_reason"": ""speed_threshold"", ""speed_duration_s"": 0.3, ""position"": {""x"": -0.21, ""y"": 1.74}}"
2026-06-26T16:17:31.703,KS,快速通过,164,0.3,"{""current_speed_m_s"": 0.93, ""average_speed_m_s"": 0.685, ""speed_ratio"": 1.36, ""acceleration_m_s2"": 0.57, ""trigger_reason"": ""speed_threshold"", ""speed_duration_s"": 0.3, ""position"": {""x"": -0.2, ""y"": 2.06}}"
2026-06-26T16:17:46.596,KS,快速通过,191,0.3,"{""current_speed_m_s"": 0.85, ""average_speed_m_s"": 0.716, ""speed_ratio"": 1.19, ""acceleration_m_s2"": 1.154, ""trigger_reason"": ""speed_threshold"", ""speed_duration_s"": 0.3, ""position"": {""x"": 0.21, ""y"": 0.59}}"
