pc_time,packet_no,target_index,track_id,match_distance_m,x_cm,y_cm,speed_cm_s,pv,x_m,y_m,speed_m_s,distance_m
2026-06-26T15:36:00.838,195,5,5,0.086,32,376,3,302,0.320,3.760,0.030,3.774
2026-06-26T15:36:00.938,197,5,5,0.000,45,367,2,312,0.450,3.670,0.020,3.697
2026-06-26T15:36:00.988,198,6,5,0.058,42,372,2,217,0.420,3.720,0.020,3.744
2026-06-26T15:36:01.038,199,6,5,0.000,42,372,1,220,0.420,3.720,0.010,3.744
2026-06-26T15:36:01.090,200,6,5,0.000,42,372,1,220,0.420,3.720,0.010,3.744
2026-06-26T15:36:01.141,201,5,5,0.072,48,368,1,241,0.480,3.680,0.010,3.711
2026-06-26T15:36:01.180,202,4,5,0.020,46,368,1,253,0.460,3.680,0.010,3.709
2026-06-26T15:36:01.230,203,3,5,0.028,48,366,1,247,0.480,3.660,0.010,3.691
2026-06-26T15:36:01.291,204,3,5,0.050,43,366,0,214,0.430,3.660,0.000,3.685
2026-06-26T15:36:01.340,205,3,5,0.000,43,366,0,214,0.430,3.660,0.000,3.685
2026-06-26T15:36:01.388,206,3,5,0.000,43,366,0,214,0.430,3.660,0.000,3.685
2026-06-26T15:36:01.438,207,3,5,0.050,47,363,0,275,0.470,3.630,0.000,3.660
2026-06-26T15:36:01.487,208,3,5,0.000,47,363,0,241,0.470,3.630,0.000,3.660
2026-06-26T15:36:01.536,209,3,5,0.000,47,363,0,241,0.470,3.630,0.000,3.660
2026-06-26T15:36:01.585,210,3,5,0.000,47,363,0,241,0.470,3.630,0.000,3.660
2026-06-26T15:36:01.635,211,3,5,0.022,49,362,0,241,0.490,3.620,0.000,3.653
2026-06-26T15:36:01.685,212,4,5,0.060,49,368,0,187,0.490,3.680,0.000,3.712
2026-06-26T15:36:01.734,213,3,5,0.036,51,365,0,304,0.510,3.650,0.000,3.685
2026-06-26T15:36:01.783,214,3,5,0.064,56,361,0,223,0.560,3.610,0.000,3.653
2026-06-26T15:36:01.832,215,3,5,0.000,56,361,0,223,0.560,3.610,0.000,3.653
2026-06-26T15:36:04.038,259,6,69,0.117,-37,399,-85,55,-0.370,3.990,-0.850,4.007
2026-06-26T15:36:04.090,260,5,69,0.061,-38,393,-90,57,-0.380,3.930,-0.900,3.948
2026-06-26T15:36:04.138,261,5,69,0.060,-38,387,-93,33,-0.380,3.870,-0.930,3.889
2026-06-26T15:36:04.188,262,5,69,0.063,-40,381,-96,39,-0.400,3.810,-0.960,3.831
2026-06-26T15:36:04.238,263,6,69,0.050,-40,376,-48,39,-0.400,3.760,-0.480,3.781
2026-06-26T15:36:04.388,266,4,69,0.091,-36,321,-44,136,-0.360,3.210,-0.440,3.230
2026-06-26T15:36:04.488,268,4,69,0.036,-37,329,-69,90,-0.370,3.290,-0.690,3.311
2026-06-26T15:36:04.538,269,4,69,0.010,-37,330,-77,79,-0.370,3.300,-0.770,3.321
2026-06-26T15:36:04.585,270,4,69,0.032,-40,329,-83,59,-0.400,3.290,-0.830,3.314
2026-06-26T15:36:04.690,272,4,69,0.108,-41,317,-68,158,-0.410,3.170,-0.680,3.196
2026-06-26T15:36:04.739,273,5,69,0.100,-40,307,-53,167,-0.400,3.070,-0.530,3.096
2026-06-26T15:36:04.788,274,4,69,0.045,-42,303,-41,175,-0.420,3.030,-0.410,3.059
2026-06-26T15:36:04.837,275,4,69,0.022,-40,304,-55,42,-0.400,3.040,-0.550,3.066
2026-06-26T15:36:04.988,278,4,69,0.045,-30,297,-64,49,-0.300,2.970,-0.640,2.985
2026-06-26T15:36:05.038,279,4,69,0.022,-29,295,-73,37,-0.290,2.950,-0.730,2.964
2026-06-26T15:36:05.087,280,3,69,0.058,-32,290,-80,48,-0.320,2.900,-0.800,2.918
2026-06-26T15:36:05.138,281,3,69,0.041,-33,286,-86,38,-0.330,2.860,-0.860,2.879
2026-06-26T15:36:05.188,282,2,69,0.051,-32,281,-90,47,-0.320,2.810,-0.900,2.828
2026-06-26T15:36:05.238,283,2,69,0.058,-29,276,-93,33,-0.290,2.760,-0.930,2.775
2026-06-26T15:36:05.287,284,2,69,0.061,-30,270,-96,78,-0.300,2.700,-0.960,2.717
2026-06-26T15:36:05.338,285,2,69,0.061,-29,264,-98,80,-0.290,2.640,-0.980,2.656
2026-06-26T15:36:05.388,286,2,69,0.041,-28,260,-100,55,-0.280,2.600,-1.000,2.615
2026-06-26T15:36:05.439,287,2,69,0.060,-28,254,-101,35,-0.280,2.540,-1.010,2.555
2026-06-26T15:36:05.488,288,2,69,0.050,-28,249,-102,58,-0.280,2.490,-1.020,2.506
2026-06-26T15:36:05.588,290,2,69,0.040,-28,218,-61,187,-0.280,2.180,-0.610,2.198
2026-06-26T15:36:05.735,293,2,69,0.020,-32,195,-28,180,-0.320,1.950,-0.280,1.976
2026-06-26T15:36:05.784,294,2,69,0.136,-36,182,-22,183,-0.360,1.820,-0.220,1.855
2026-06-26T15:36:05.832,295,2,69,0.010,-36,181,-17,186,-0.360,1.810,-0.170,1.845
2026-06-26T15:36:05.980,298,1,69,0.098,-21,122,-8,44,-0.210,1.220,-0.080,1.238
2026-06-26T15:36:06.040,299,1,69,0.067,-18,116,-6,42,-0.180,1.160,-0.060,1.174
2026-06-26T15:36:06.090,300,1,69,0.051,-17,111,-5,49,-0.170,1.110,-0.050,1.123
2026-06-26T15:36:06.139,301,1,69,0.000,-17,111,-4,43,-0.170,1.110,-0.040,1.123
2026-06-26T15:36:06.188,302,1,69,0.099,-24,118,-3,189,-0.240,1.180,-0.030,1.204
2026-06-26T15:36:06.237,303,1,69,0.000,-24,118,-2,182,-0.240,1.180,-0.020,1.204
2026-06-26T15:36:06.288,304,1,69,0.071,-29,123,-2,174,-0.290,1.230,-0.020,1.264
2026-06-26T15:36:06.337,305,1,69,0.103,-38,128,-1,182,-0.380,1.280,-0.010,1.335
2026-06-26T15:36:06.387,306,1,69,0.010,-38,127,-1,191,-0.380,1.270,-0.010,1.326
2026-06-26T15:36:06.436,307,1,69,0.000,-38,127,-1,192,-0.380,1.270,-0.010,1.326
2026-06-26T15:36:06.487,308,1,69,0.000,-38,127,-1,191,-0.380,1.270,-0.010,1.326
2026-06-26T15:36:06.537,309,1,69,0.000,-38,127,0,187,-0.380,1.270,0.000,1.326
2026-06-26T15:36:06.587,310,1,69,0.045,-40,131,0,179,-0.400,1.310,0.000,1.370
2026-06-26T15:36:06.637,311,1,69,0.000,-40,131,0,176,-0.400,1.310,0.000,1.370
2026-06-26T15:36:06.686,312,1,69,0.028,-42,133,0,173,-0.420,1.330,0.000,1.395
2026-06-26T15:36:06.737,313,1,69,0.000,-42,133,0,178,-0.420,1.330,0.000,1.395
2026-06-26T15:36:06.786,314,1,69,0.000,-42,133,0,181,-0.420,1.330,0.000,1.395
2026-06-26T15:36:06.836,315,1,69,0.000,-42,133,0,174,-0.420,1.330,0.000,1.395
2026-06-26T15:36:06.887,316,1,69,0.032,-43,136,0,174,-0.430,1.360,0.000,1.426
2026-06-26T15:36:06.937,317,1,69,0.000,-43,136,0,175,-0.430,1.360,0.000,1.426
2026-06-26T15:36:07.034,318,1,69,0.022,-45,137,0,179,-0.450,1.370,0.000,1.442
2026-06-26T15:36:07.064,319,1,69,0.122,-38,127,0,49,-0.380,1.270,0.000,1.326
2026-06-26T15:36:07.111,320,1,69,0.045,-40,131,0,164,-0.400,1.310,0.000,1.370
2026-06-26T15:36:07.139,321,1,69,0.054,-42,136,0,178,-0.420,1.360,0.000,1.423
2026-06-26T15:36:07.186,322,1,69,0.000,-42,136,0,170,-0.420,1.360,0.000,1.423
2026-06-26T15:36:07.236,323,1,69,0.000,-42,136,0,164,-0.420,1.360,0.000,1.423
2026-06-26T15:36:07.290,324,1,69,0.000,-42,136,0,165,-0.420,1.360,0.000,1.423
2026-06-26T15:36:07.340,325,1,69,0.000,-42,136,0,167,-0.420,1.360,0.000,1.423
2026-06-26T15:36:07.379,326,1,69,0.000,-42,136,0,159,-0.420,1.360,0.000,1.423
2026-06-26T15:36:07.439,327,1,69,0.120,-34,127,0,51,-0.340,1.270,0.000,1.315
2026-06-26T15:36:07.538,329,1,69,0.089,-21,108,0,48,-0.210,1.080,0.000,1.100
2026-06-26T15:36:07.590,330,1,69,0.061,-20,102,0,33,-0.200,1.020,0.000,1.039
2026-06-26T15:36:07.638,331,1,69,0.114,-27,111,0,172,-0.270,1.110,0.000,1.142
2026-06-26T15:36:07.688,332,1,69,0.081,-31,118,0,168,-0.310,1.180,0.000,1.220
2026-06-26T15:36:07.737,333,1,69,0.000,-31,118,0,162,-0.310,1.180,0.000,1.220
2026-06-26T15:36:07.785,334,1,69,0.000,-31,118,0,161,-0.310,1.180,0.000,1.220
2026-06-26T15:36:07.832,335,1,69,0.072,-35,124,0,167,-0.350,1.240,0.000,1.288
2026-06-26T15:36:07.879,336,1,69,0.000,-35,124,0,173,-0.350,1.240,0.000,1.288
2026-06-26T15:36:07.937,337,1,69,0.000,-35,124,0,163,-0.350,1.240,0.000,1.288
2026-06-26T15:36:07.987,338,1,69,0.000,-35,124,0,165,-0.350,1.240,0.000,1.288
2026-06-26T15:36:08.037,339,1,69,0.050,-38,128,0,170,-0.380,1.280,0.000,1.335
2026-06-26T15:36:08.087,340,1,69,0.000,-38,128,0,165,-0.380,1.280,0.000,1.335
2026-06-26T15:36:08.137,341,1,69,0.036,-40,131,0,170,-0.400,1.310,0.000,1.370
2026-06-26T15:36:08.186,342,1,69,0.000,-40,131,0,184,-0.400,1.310,0.000,1.370
2026-06-26T15:36:08.237,343,1,69,0.000,-40,131,0,181,-0.400,1.310,0.000,1.370
2026-06-26T15:36:08.287,344,1,69,0.036,-42,134,0,174,-0.420,1.340,0.000,1.404
2026-06-26T15:36:08.337,345,1,69,0.000,-42,134,0,161,-0.420,1.340,0.000,1.404
2026-06-26T15:36:08.386,346,1,69,0.000,-42,134,0,164,-0.420,1.340,0.000,1.404
2026-06-26T15:36:08.437,347,1,69,0.022,-43,136,0,177,-0.430,1.360,0.000,1.426
2026-06-26T15:36:08.487,348,1,69,0.000,-43,136,0,150,-0.430,1.360,0.000,1.426
2026-06-26T15:36:08.537,349,1,69,0.000,-43,136,0,172,-0.430,1.360,0.000,1.426
2026-06-26T15:36:08.586,350,1,69,0.072,-37,132,0,67,-0.370,1.320,0.000,1.371
2026-06-26T15:36:08.686,352,1,69,0.103,-23,110,0,43,-0.230,1.100,0.000,1.124
2026-06-26T15:36:08.736,353,1,69,0.100,-29,118,0,160,-0.290,1.180,0.000,1.215
2026-06-26T15:36:08.787,354,1,69,0.103,-38,123,0,171,-0.380,1.230,0.000,1.287
2026-06-26T15:36:08.837,355,1,69,0.092,-40,132,0,168,-0.400,1.320,0.000,1.379
2026-06-26T15:36:08.887,356,1,69,0.100,-34,124,0,45,-0.340,1.240,0.000,1.286
2026-06-26T15:36:08.936,357,1,69,0.000,-34,124,0,48,-0.340,1.240,0.000,1.286
2026-06-26T15:36:08.987,358,1,69,0.000,-34,124,0,50,-0.340,1.240,0.000,1.286
2026-06-26T15:36:09.037,359,1,69,0.000,-34,124,0,52,-0.340,1.240,0.000,1.286
2026-06-26T15:36:09.088,360,1,69,0.081,-30,117,0,46,-0.300,1.170,0.000,1.208
2026-06-26T15:36:09.139,361,1,69,0.071,-25,112,0,40,-0.250,1.120,0.000,1.148
2026-06-26T15:36:09.188,362,1,69,0.050,-22,108,0,38,-0.220,1.080,0.000,1.102
2026-06-26T15:36:09.238,363,1,69,0.036,-20,105,0,41,-0.200,1.050,0.000,1.069
2026-06-26T15:36:09.287,364,1,69,0.000,-20,105,0,143,-0.200,1.050,0.000,1.069
2026-06-26T15:36:09.336,365,1,69,0.028,-18,103,0,38,-0.180,1.030,0.000,1.046
2026-06-26T15:36:09.387,366,1,69,0.114,-25,112,0,138,-0.250,1.120,0.000,1.148
2026-06-26T15:36:09.438,367,1,69,0.045,-23,108,0,49,-0.230,1.080,0.000,1.104
2026-06-26T15:36:09.487,368,1,69,0.050,-19,105,0,47,-0.190,1.050,0.000,1.067
2026-06-26T15:36:09.536,369,1,69,0.142,-30,96,0,30,-0.300,0.960,0.000,1.006
2026-06-26T15:36:09.586,370,1,69,0.040,-34,96,0,163,-0.340,0.960,0.000,1.018
2026-06-26T15:36:09.637,371,1,69,0.040,-30,96,0,36,-0.300,0.960,0.000,1.006
2026-06-26T15:36:09.687,372,1,69,0.032,-27,95,0,40,-0.270,0.950,0.000,0.988
2026-06-26T15:36:09.737,373,1,69,0.121,-32,106,0,149,-0.320,1.060,0.000,1.107
2026-06-26T15:36:09.786,374,1,69,0.085,-35,114,0,149,-0.350,1.140,0.000,1.193
2026-06-26T15:36:09.836,375,1,69,0.000,-35,114,0,150,-0.350,1.140,0.000,1.193
