pc_time,packet_no,target_index,track_id,match_distance_m,x_cm,y_cm,speed_cm_s,pv,x_m,y_m,speed_m_s,distance_m
2026-06-26T15:28:06.615,234,2,47,0.081,58,338,-33,94,0.580,3.380,-0.330,3.429
2026-06-26T15:28:06.665,235,1,47,0.020,58,336,-16,94,0.580,3.360,-0.160,3.410
2026-06-26T15:28:06.766,237,1,47,0.010,56,337,-20,640,0.560,3.370,-0.200,3.416
2026-06-26T15:28:06.815,238,1,47,0.010,56,336,-15,667,0.560,3.360,-0.150,3.406
2026-06-26T15:28:07.062,243,2,47,0.092,55,318,-33,153,0.550,3.180,-0.330,3.227
2026-06-26T15:28:07.206,246,2,47,0.020,54,274,-31,74,0.540,2.740,-0.310,2.793
2026-06-26T15:28:07.256,247,2,47,0.010,54,273,-40,288,0.540,2.730,-0.400,2.783
2026-06-26T15:28:07.406,250,1,47,0.020,52,238,-28,155,0.520,2.380,-0.280,2.436
2026-06-26T15:28:07.467,251,1,47,0.030,52,241,-38,144,0.520,2.410,-0.380,2.465
2026-06-26T15:28:07.516,252,1,47,0.022,54,242,-45,172,0.540,2.420,-0.450,2.480
2026-06-26T15:28:07.566,253,1,47,0.000,54,242,-51,137,0.540,2.420,-0.510,2.480
2026-06-26T15:28:07.616,254,1,47,0.108,58,232,-39,207,0.580,2.320,-0.390,2.391
2026-06-26T15:28:07.665,255,1,47,0.063,60,226,-30,270,0.600,2.260,-0.300,2.338
2026-06-26T15:28:07.715,256,1,47,0.051,59,221,-23,177,0.590,2.210,-0.230,2.287
2026-06-26T15:28:07.765,257,1,47,0.014,60,222,-34,169,0.600,2.220,-0.340,2.300
2026-06-26T15:28:07.815,258,2,47,0.020,60,220,-42,220,0.600,2.200,-0.420,2.280
2026-06-26T15:28:08.357,269,1,47,0.057,60,195,-47,57,0.600,1.950,-0.470,2.040
2026-06-26T15:28:08.407,270,1,47,0.040,60,191,-53,53,0.600,1.910,-0.530,2.002
2026-06-26T15:28:08.467,271,1,47,0.028,58,189,-56,39,0.580,1.890,-0.560,1.977
2026-06-26T15:28:08.514,272,1,47,0.050,55,185,-60,81,0.550,1.850,-0.600,1.930
2026-06-26T15:28:11.857,339,0,80,0.045,-38,226,55,161,-0.380,2.260,0.550,2.292
2026-06-26T15:28:11.906,340,0,80,0.030,-38,229,58,67,-0.380,2.290,0.580,2.321
2026-06-26T15:28:11.956,341,0,80,0.030,-38,232,61,90,-0.380,2.320,0.610,2.351
2026-06-26T15:28:12.015,342,0,80,0.036,-40,235,63,92,-0.400,2.350,0.630,2.384
2026-06-26T15:28:12.064,343,0,80,0.098,-49,239,65,108,-0.490,2.390,0.650,2.440
2026-06-26T15:28:12.113,344,0,80,0.086,-54,246,66,86,-0.540,2.460,0.660,2.519
2026-06-26T15:28:12.163,345,0,80,0.076,-47,249,67,60,-0.470,2.490,0.670,2.534
2026-06-26T15:28:12.214,346,0,80,0.140,-46,235,52,161,-0.460,2.350,0.520,2.395
2026-06-26T15:28:12.264,347,0,80,0.071,-45,242,56,67,-0.450,2.420,0.560,2.461
2026-06-26T15:28:12.314,348,0,80,0.061,-44,248,59,180,-0.440,2.480,0.590,2.519
2026-06-26T15:28:12.363,349,0,80,0.071,-45,255,61,139,-0.450,2.550,0.610,2.589
2026-06-26T15:28:12.464,351,2,80,0.050,-47,275,65,113,-0.470,2.750,0.650,2.790
